Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-010287,2020-07,01/01/2012 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1500,WASHINGTON AVE,36, , ,1900,OLIVE,0,0
20-032224,2020-07,01/01/2020 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4940,BERTHOLD AVE,40, , ,4940,BERTHOLD,886931.9,1017291
20-029155,2020-07,01/01/2020 08:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3938,DUNNICA AVE,16, , ,3938,DUNNICA,890648.9,1003034
20-033626,2020-07,01/01/2020 12:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,5242,GREER AVE,52, , ,5242,GREER,888722.6,1034849
20-030965,2020-07,01/01/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5300,MAPLE AVE,49, , ,5300,MAPLE,885118.9,1029008
20-030862,2020-07,01/06/2020 10:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",4246,SCHILLER PL,5, , ,4246,SCHILLER,886519.1,999306.9
20-033581,2020-07,01/29/2020 10:00,Y, , ,1, , 71030,4,AUTO THEFT-PERM RETNT/JOY RIDE,0,N 14TH ST / CASS AVE,61, , , , ,906983.3,1022605
20-030022,2020-07,02/01/2020 00:01,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3709,KEOKUK ST,16, ,APT,3709,KEOKUK,892469.3,1002579
20-030772,2020-07,02/01/2020 12:00,Y, , ,1, ,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3841,ST FERDINAND AVE,59, , ,3841,ST FERDINAND,897824.6,1027182
20-032127,2020-07,02/05/2019 00:01,Y, , ,1, , 91123,3,SIMPLE ASSAULT-CHILD/NO INJURY,1613,S 9TH ST,21,DOMINOS PIZZA, ,3644,KOSCIUSKO,905198.8,1011607
20-031010,2020-07,02/10/2020 00:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,3923,FAIRVIEW AVE,15, , ,3923,FAIRVIEW,891170.6,1005784
20-007630,2020-07,02/15/2020 22:30, , , ,1, , 10000,1,HOMICIDE,112,BELLERIVE,1, , ,112,BELLERIVE,0,0
20-031353,2020-07,02/19/2020 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5637,HANCOCK AVE,14, , ,5637,HANCOCK,881320.8,1007248
20-033409,2020-07,02/19/2020 08:15,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,CARTER AVE / N GRAND BLVD,67, , , , ,902483.9,1032209
20-008721,2020-07,02/22/2020 01:15, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, ,JEFFERSON WASHINGTON,36, , , , ,0,0
20-021220,2020-07,02/25/2020 00:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4500,LEWIS PL,54, , , , ,0,0
20-029752,2020-07,02/25/2020 08:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4321,MORGANFORD RD,5, , ,4321,MORGANFORD,887556.6,1003454
20-009377,2020-07,02/25/2020 18:45,Y, , ,1, , 42026,4,ASSLT-AGGRV-KNIFE/CUT-3RD-CHILD-DOMESTIC,1465,COCHRAN PL,61, , ,1465,COCHRAN,906762.9,1022299
20-009377,2020-07,02/25/2020 18:45,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1465,COCHRAN PL,61, , ,1465,COCHRAN,906762.9,1022299
20-009377,2020-07,02/25/2020 18:45,Y, , ,1, , 42026,4,ASSLT-AGGRV-KNIFE/CUT-3RD-CHILD-DOMESTIC,1465,COCHRAN PL,61, , ,1465,COCHRAN,906762.9,1022299
20-009377,2020-07,02/25/2020 18:45,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1465,COCHRAN PL,61, , ,1465,COCHRAN,906762.9,1022299
20-009377,2020-07,02/25/2020 18:45,Y, , ,1, , 42026,4,ASSLT-AGGRV-KNIFE/CUT-3RD-CHILD-DOMESTIC,1465,COCHRAN PL,61, , ,1465,COCHRAN,906762.9,1022299
20-009377,2020-07,02/25/2020 18:45,Y, , ,1, , 42013,4,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE,1465,COCHRAN PL,61, , ,1465,COCHRAN,906762.9,1022299
20-009379,2020-07,02/25/2020 20:00,Y, , ,1, , 41016,5,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,0,PAGE BLVD / PENDLETON AVE,58, , , , ,893299.3,1026790
20-025976,2020-07,02/28/2020 18:56,Y, , ,1, ,112010,3,FRAUD-CREDIT DEVICE/OVER $150,3028,CAROLINE ST,31, , ,3028,CAROLINE,897731.7,1014906
